Id,Titol,Vigent
fiYfkvA4rz/ML+AOCJ4FcFcF600sMiHFaHqvKV0hZuU=,"Accions  per a la defensa dels drets humans, i en concret, dels drets humans de les dones, en cooperació al desenvolupament.",False
u4SatfT5j9a4qGsPhKGyQpZeowM9My8bcnWsp2JPpws=,Activitats esportives per a adults 2024/2025,True
0dao3mddVErCbfi/BaAxpJYadLEjja4kiJR3SmlXxlw=,Activitats Persones Grans 2024,True
8cnvn74c+4vTFB4rr8HRpajSvy4TGT5+lLH7PRIGyHU=,Activitats Persones Grans. 2024-2025,True
6464PMs+P3T+oH9mf+eHqILRJ94T82+ZVajEvy9y23Y=,Actualització de dades / Resposta al requeriment de documentació en el Registre Municipal d'Entitats,True
V2OkKAfqJM1MlrCTMCI/P28kxShTS9c+1uUAubTTERY=,Actualització d'un dret funerari concedit abans del 10/04/1993,True
4zERfiVQAd2HdHmepIUC2i83QY7oTBgzv8UeItSn2hU=,Actualització per defunció del beneficiari,True
vM9yeSVrB90H+uS5PjGwpvL2pmBy+dj+QphAFzTVpJo=,Actualització per defunció del titular del dret funerari,True
CG6OFw4nbaWppt2XSQiU854ZaSH+S1Y4vCTIvsYzxhA=,Actualització per defunció del titular i del beneficiari,True
NrmSV9bhojMw5m7x8toYSWry0+hTLfDAVIaax/GOudY=,Adhesió a la Junta Arbitral de Consum,True
g6VJJZR2PeuYhtkHgDiE6O+x0KdgYKbdmR+0XoVoDd0=,Adhesió al Pacte Local contra la segregació escolar,True
JuusRsB5Vnf4EhOA3cF3VO8KF0bqqD8pdFJ3n9G4hFk=,Adhesió al Pacte Local contra les Violències Masclistes,True
WaHlxt4o1FBDaFwmL3O1edVdOlkbkqoM/yEN6kgf64I=,Adhesions a les distincions honorifiques de l’Ajuntament,False
TujxgXgWrKMewxvzlwpwf5QaQSQTGahCHCgq1pAfwJ8=,Adjudicació de magatzem en el Mercat Central de Fruites i Verdures,True
YmtZ04fJcMRBbEnQAQGdE0isf4BC8QW0IBJHKHabLbo=,Adjudicació de parada en el Mercat Central de Fruites i Verdures,True
BoAmCp5yuCRNhrW3Siy6AvRPWS4+l94wbksq2Vx8Jrc=,Adjudicació de parada en un mercat ambulant,True
6SQEx1CTSCHUsKznTVKWBpCfgNjsWwqQTTmM7OywFEE=,Adjudicació de parada en un mercat municipal,True
DTVKM1zVOI3DmjKthjDTtnZGbeO+OqWh0YZavCylPq0=,Ajut per a la renovació o adequació del permís de conduir,True
H2JsgXms+oPIWQgSoI1iQeUwUhZWadq/JdtU+JWc9b8=,Ajuts Familiars per a treballadors municipals,True
nVfST5JA3AHSIF8LieFWttMquKjc20twmr/0etM9K0I=,Ajuts per a beneficiaris,True
8/UBFaC+EC7Cw5iNFFMklEU+XiIvdtdSnPLJu1LhrrY=,Ajuts per a titulars,True
WEyMsohoigBVJMBQZaYLMB0QuiD66oYyu7DBAybjqmU=,Ajuts per al foment de l'activitat econòmica i suport a l'obertura i millora d'establiments comercials,True
ziN23c6TbqoOvyfE7Ne9D6EiLXGoFMDBC8YHhv9DhnU=,Ajuts prestacions sanitàries,True
IYwXs4XfuxaKebVYqe1Yt4wzckYs0fYr4CEIXnZnVgc=,Alta al Padró Municipal d'Habitants,True
y+K0bgZi3Qpi/iioXPAoAk9zm0Snup5Zjorlwcgttkg=,Alta al Padró Municipal d'Habitants per naixement,True
Cf8y9sfv8A3SM3T9WFaYF/YaCDFB4CS32BhVWCeprBs=,ALTA de resident en zona blava  / Bonificació tarifa vehicle amb etiqueta ZERO en zona blava,True
THjrlXYWPd39S0PGsQCkX0TGSn4EBmDafLFna3OEqfM=,Alta o canvi de domicili al Padró d'Habitants per a persones sense domicili fix,True
gUmWHPNwbQO7eVgPrj0W4VSFZ/3MZyaBlNQIIHP2aBk=,Alta o canvi de domicili al Padró sense poder acreditar el dret d'ocupació de l'habitatge,True
RfASSlbJczp5BVRbecJxWJqZroFeIcHKTBpm+YmMWtc=,Altres activitats,True
/MTfZFU+61dycpUuENyS9WNWQ2lJzFJpeJimWfP6smY=,Altres Atestats de Guàrdia Urbana,True
NCnjhj7TJPw9t8QVRAo0TCu1r1kRAt4b2+zgwKouSl8=,Altres informes o peticions d'actuació Guàrdia Urbana,True
A0Aw2ymtdmpFGD7vwZ1B2uBMWvYsNr0EBawwu0Wbv/w=,Apoderament electrònic per a la realització de tràmits i actuacions en matèria tributària i multes a l’Oficina Virtual Tributària,True
lJfawRdDzP3TuZWAh6uf5cZRVEzCEQxB/xYogTxoPGs=,Aportació de documentació a expedient de Teletreball,True
7jitRh8ZVopLPgbNVtEI7eh/ew3E0I96IFlNd0q+srE=,Aportació de documentació al departament de Contractació,True
16LYwHmPj4Rl1CX0rpzqxG0iygKYFdkCtRtxsY/MUbA=,Aportació de documentació de tràmits ja iniciats de l'àrea de Llicències,True
3411giRZaJUVDGGDnzDacc2ihr3g2az9PUOTOAy7tbo=,Aportació de documentació de tràmits ja iniciats de l'àrea de Llicències d'activitats,True
rW7UgCvYrnEBzUIsCEOd8BLrl3NzOSwUpEIMJ1o3eGc=,Aportació de documentació i presentació d'al·legacions als ajuts per prestacions sanitàries,True
C3BwxOo2jePEb4uZdG2MafJ2lvixnwtoJLimJISXAVU=,Aportació de documentació per a expedients de Padró Municipal d'Habitants,True
BcTZxLl1zMjN2MgiyKHX1clW3CzKpx+Iqatzub1PE14=,Aportació de documentació per a expedients de subvencions,True
ESaczP3/IVoz6jCfQtkc/XeLe0Boqks1DdvhiR7yqHg=,Aportació de documentació per a expedients de subvencions de Turisme,True
+RMaZY0iNBpUgCTfndSjpDAECoYX+P/GE72G6YD9CjA=,Aportació de documentació requerida per habitatge en situació anòmala,True
4+BHEyXUj0qwFvnfiUPsiGRT2ZPYpyMqd1XqWTpYZ6A=,"Aportació de documentació requerida per la Regidoria de Consum, Comerç i Mercats",True
sDbQETLAf31OdDUAgnO7Xm86wKamk1yfCZnRRhiXny0=,Aportació de documentació requerida per la Regidoria d'Habitatge i Transició Ecològica,True
IhSP8N4DzNtki05jR/GgyC9kubmeKYURK4/qACvQGjc=,Aportació de documentació requerida sobre la gestió de títols funeraris,True
+9hGyUgYGGqr/1tg7SbHuXM2SdoloC0VruPrL3jtm2A=,Aprovació Inicial del Pla Director Urbanístic d'activitat econòmica,True
3eRUW+HARtZ/5mCoYzqdRyt9hO1e+JpQAp8iALDLTP4=,Atenció a la dependència,True
UsgoEVGrGVuYXesxdUdj454vCC2tALcmPwMn2ePmZwg=,Atenció a situacions d'urgència o emergència social,True
oFS1XMCYgopTTmR3q0qxZlRHHNKFzEaNOO6O3a0mKG4=,Atenció social individual o familiar,True
94t3CjlAjrTVQlEElw83MbgSwrwH4nitLQyr1V/BwHI=,Atestat de Guàrdia Urbana per accident de trànsit,True
a2IzOthCq6m7JNtBrXHF0/lhrRwCdB+ln+H/XskGq2Q=,Audiència Pública Sensellarisme,False
glYlxgT+9uN1TLeCu2fDzv4dOQpiJMg8zm1OLQEvdUY=,Autoliquidació de la taxa d'aprofitaments especials,True
6dh6weta1jFzRG7on1MoqvG5+0CWST9XX35jbsqt1F4=,Autoliquidació de la taxa d'obres,True
q3l7y8jlQpiRqWvXWdyBeNvc6vZf+yphkhZy0t2kOSg=,Autoliquidació de l'impost de vehicles de tracció mecànica,True
JhMPPwP3Y/kW3sUKQohRdW/gbLdvrf5eZp3RjSJStSY=,Autoliquidació ICIO provisional,True
3vRyJl3K3oEshTB0Vi35dD/voVbeoba9vzvTy8bFDIQ=,Autoliquidació taxa obertura d'activitats,True
P15iarpXkgNsGqqWNkkzP0s7hlyXD+UUD9hXqenoVHE=,Autorització d'abocament d'aigües residuals a la xarxa de clavegueram,True
o30J/UPkNkb9ihfLDTmCA3SGVUqbPjtG5e7JNdaMFDU=,Autorització d'abocament d'aigües residuals amb camió cisterna,True
fG8gIozTOYUfKQAIpho8/brMbdFvBdsjfmR4BWifFjA=,Autorització per a l’ús de la Marca,True
